region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV sales,Cars,FCEV,2019,,17
Italy,Historical,EV sales,Cars,PHEV,2019,,6471
Italy,Historical,EV sales,Cars,BEV,2020,,32485
Italy,Historical,EV sales,Cars,FCEV,2020,,7
Italy,Historical,EV sales,Cars,PHEV,2020,,27407
Japan,Historical,EV sales,Cars,BEV,2010,,2442
Japan,Historical,EV sales,Cars,FCEV,2010,,2
Japan,Historical,EV sales,Cars,BEV,2011,,12607
Japan,Historical,EV sales,Cars,PHEV,2011,,15
Japan,Historical,EV sales,Cars,BEV,2012,,13469
Japan,Historical,EV sales,Cars,FCEV,2012,,1
Japan,Historical,EV sales,Cars,PHEV,2012,,10968
Japan,Historical,EV sales,Cars,BEV,2013,,14756
Japan,Historical,EV sales,Cars,FCEV,2013,,4
Japan,Historical,EV sales,Cars,PHEV,2013,,14122
Japan,Historical,EV sales,Cars,BEV,2014,,16109
Japan,Historical,EV sales,Cars,FCEV,2014,,7
Japan,Historical,EV sales,Cars,PHEV,2014,,16178
Japan,Historical,EV sales,Cars,BEV,2015,,10465
Japan,Historical,EV sales,Cars,FCEV,2015,,388
Japan,Historical,EV sales,Cars,PHEV,2015,,14188
Japan,Historical,EV sales,Cars,BEV,2016,,15300
Japan,Historical,EV sales,Cars,FCEV,2016,,1055
Japan,Historical,EV sales,Cars,PHEV,2016,,9390
Japan,Historical,EV sales,Cars,BEV,2017,,18100
Japan,Historical,EV sales,Cars,FCEV,2017,,850
Japan,Historical,EV sales,Cars,PHEV,2017,,36000
Japan,Historical,EV sales,Cars,BEV,2018,,26530
Japan,Historical,EV sales,Cars,FCEV,2018,,610
Japan,Historical,EV sales,Cars,PHEV,2018,,23220
Japan,Historical,EV sales,Cars,BEV,2019,,21300
Japan,Historical,EV sales,Cars,FCEV,2019,,673
Japan,Historical,EV sales,Cars,PHEV,2019,,17600
Japan,Historical,EV sales,Cars,BEV,2020,,14600
Japan,Historical,EV sales,Cars,FCEV,2020,,800
Japan,Historical,EV sales,Cars,PHEV,2020,,14700
Korea,Historical,EV sales,Cars,BEV,2010,,61
Korea,Historical,EV sales,Cars,BEV,2011,,274
Korea,Historical,EV sales,Cars,BEV,2012,,514
Korea,Historical,EV sales,Cars,BEV,2013,,598
Korea,Historical,EV sales,Cars,BEV,2014,,1257
Korea,Historical,EV sales,Cars,BEV,2015,,3051
Korea,Historical,EV sales,Cars,FCEV,2015,,29
Korea,Historical,EV sales,Cars,PHEV,2015,,252
Korea,Historical,EV sales,Cars,BEV,2016,,4685
Korea,Historical,EV sales,Cars,FCEV,2016,,58
Korea,Historical,EV sales,Cars,PHEV,2016,,331
Korea,Historical,EV sales,Cars,BEV,2017,,13970
Korea,Historical,EV sales,Cars,FCEV,2017,,75
Korea,Historical,EV sales,Cars,PHEV,2017,,670
Korea,Historical,EV sales,Cars,BEV,2018,,55486
Korea,Historical,EV sales,Cars,FCEV,2018,,906
Korea,Historical,EV sales,Cars,PHEV,2018,,4367
Korea,Historical,EV sales,Cars,BEV,2019,,33423
Korea,Historical,EV sales,Cars,FCEV,2019,,4179
Korea,Historical,EV sales,Cars,PHEV,2019,,2730
Korea,Historical,EV sales,Cars,BEV,2020,,31329
Korea,Historical,EV sales,Cars,FCEV,2020,,5783
Korea,Historical,EV sales,Cars,PHEV,2020,,8509
Mexico,Historical,EV sales,Cars,BEV,2011,,3
Mexico,Historical,EV sales,Cars,BEV,2012,,88
Mexico,Historical,EV sales,Cars,BEV,2013,,12
Mexico,Historical,EV sales,Cars,BEV,2014,,48
Mexico,Historical,EV sales,Cars,BEV,2015,,92
Mexico,Historical,EV sales,Cars,PHEV,2015,,7
Mexico,Historical,EV sales,Cars,BEV,2016,,254
Mexico,Historical,EV sales,Cars,PHEV,2016,,521
Mexico,Historical,EV sales,Cars,BEV,2017,,234
Mexico,Historical,EV sales,Cars,PHEV,2017,,968
Mexico,Historical,EV sales,Cars,BEV,2018,,201
Mexico,Historical,EV sales,Cars,PHEV,2018,,1584
Mexico,Historical,EV sales,Cars,BEV,2019,,268
Mexico,Historical,EV sales,Cars,PHEV,2019,,452
Mexico,Historical,EV sales,Cars,BEV,2020,,1906
Mexico,Historical,EV sales,Cars,PHEV,2020,,610
Netherlands,Historical,EV sales,Cars,BEV,2010,,120
Netherlands,Historical,EV sales,Cars,BEV,2011,,858
Netherlands,Historical,EV sales,Cars,PHEV,2011,,17
Netherlands,Historical,EV sales,Cars,BEV,2012,,786
Netherlands,Historical,EV sales,Cars,PHEV,2012,,4331
Netherlands,Historical,EV sales,Cars,BEV,2013,,2251
Netherlands,Historical,EV sales,Cars,PHEV,2013,,20164
Netherlands,Historical,EV sales,Cars,BEV,2014,,2664
Netherlands,Historical,EV sales,Cars,FCEV,2014,,2.2109999656677246
Netherlands,Historical,EV sales,Cars,PHEV,2014,,12425
Netherlands,Historical,EV sales,Cars,BEV,2015,,2543
Netherlands,Historical,EV sales,Cars,FCEV,2015,,21
Netherlands,Historical,EV sales,Cars,PHEV,2015,,41226
Netherlands,Historical,EV sales,Cars,BEV,2016,,4054
Netherlands,Historical,EV sales,Cars,FCEV,2016,,7
Netherlands,Historical,EV sales,Cars,PHEV,2016,,18619
Netherlands,Historical,EV sales,Cars,BEV,2017,,9194
Netherlands,Historical,EV sales,Cars,FCEV,2017,,5
Netherlands,Historical,EV sales,Cars,PHEV,2017,,1130
Netherlands,Historical,EV sales,Cars,BEV,2018,,24434
Netherlands,Historical,EV sales,Cars,FCEV,2018,,13
Netherlands,Historical,EV sales,Cars,PHEV,2018,,3536
Netherlands,Historical,EV sales,Cars,BEV,2019,,62004
Netherlands,Historical,EV sales,Cars,FCEV,2019,,156
Netherlands,Historical,EV sales,Cars,PHEV,2019,,5518
Netherlands,Historical,EV sales,Cars,BEV,2020,,72299
Netherlands,Historical,EV sales,Cars,FCEV,2020,,146
Netherlands,Historical,EV sales,Cars,PHEV,2020,,15960
New Zealand,Historical,EV sales,Cars,BEV,2010,,10
New Zealand,Historical,EV sales,Cars,BEV,2011,,13
New Zealand,Historical,EV sales,Cars,PHEV,2011,,2
New Zealand,Historical,EV sales,Cars,BEV,2012,,22
New Zealand,Historical,EV sales,Cars,PHEV,2012,,5
New Zealand,Historical,EV sales,Cars,BEV,2013,,30
New Zealand,Historical,EV sales,Cars,PHEV,2013,,6
New Zealand,Historical,EV sales,Cars,BEV,2014,,112
New Zealand,Historical,EV sales,Cars,PHEV,2014,,207
New Zealand,Historical,EV sales,Cars,BEV,2015,,295
New Zealand,Historical,EV sales,Cars,PHEV,2015,,199
New Zealand,Historical,EV sales,Cars,BEV,2016,,1162
New Zealand,Historical,EV sales,Cars,PHEV,2016,,340
New Zealand,Historical,EV sales,Cars,BEV,2017,,2935
New Zealand,Historical,EV sales,Cars,PHEV,2017,,537
