region,category,parameter,mode,powertrain,year,unit,value
Netherlands,Historical,EV chargers,,Publicly available slow,2010,,400
Netherlands,Historical,EV chargers,,Publicly available slow,2011,,400
Netherlands,Historical,EV chargers,,Publicly available fast,2012,,21
Netherlands,Historical,EV chargers,,Publicly available slow,2012,,2782
Netherlands,Historical,EV chargers,,Publicly available fast,2013,,21
Netherlands,Historical,EV chargers,,Publicly available slow,2013,,5770
Netherlands,Historical,EV chargers,,Publicly available fast,2014,,121
Netherlands,Historical,EV chargers,,Publicly available slow,2014,,11860
Netherlands,Historical,EV chargers,,Publicly available fast,2015,,222
Netherlands,Historical,EV chargers,,Publicly available slow,2015,,17786
Netherlands,Historical,EV chargers,,Publicly available fast,2016,,404
Netherlands,Historical,EV chargers,,Publicly available slow,2016,,32120
Netherlands,Historical,EV chargers,,Publicly available fast,2017,,407
Netherlands,Historical,EV chargers,,Publicly available slow,2017,,32875
Netherlands,Historical,EV chargers,,Publicly available fast,2018,,819
Netherlands,Historical,EV chargers,,Publicly available slow,2018,,36010
Netherlands,Historical,EV chargers,,Publicly available fast,2019,,829
Netherlands,Historical,EV chargers,,Publicly available slow,2019,,49324
Netherlands,Historical,EV chargers,,Publicly available fast,2020,,2047
Netherlands,Historical,EV chargers,,Publicly available slow,2020,,63586
New Zealand,Historical,EV chargers,,Publicly available fast,2017,,104
New Zealand,Historical,EV chargers,,Publicly available fast,2018,,204
New Zealand,Historical,EV chargers,,Publicly available slow,2018,,89
New Zealand,Historical,EV chargers,,Publicly available fast,2019,,258
New Zealand,Historical,EV chargers,,Publicly available slow,2019,,131
New Zealand,Historical,EV chargers,,Publicly available fast,2020,,312
New Zealand,Historical,EV chargers,,Publicly available slow,2020,,146
Norway,Historical,EV chargers,,Publicly available slow,2010,,2800
Norway,Historical,EV chargers,,Publicly available fast,2011,,18
Norway,Historical,EV chargers,,Publicly available slow,2011,,3105
Norway,Historical,EV chargers,,Publicly available fast,2012,,58
Norway,Historical,EV chargers,,Publicly available slow,2012,,3688
Norway,Historical,EV chargers,,Publicly available fast,2013,,96
Norway,Historical,EV chargers,,Publicly available slow,2013,,4511
Norway,Historical,EV chargers,,Publicly available fast,2014,,108
Norway,Historical,EV chargers,,Publicly available slow,2014,,5185
Norway,Historical,EV chargers,,Publicly available fast,2015,,328
Norway,Historical,EV chargers,,Publicly available slow,2015,,5185
Norway,Historical,EV chargers,,Publicly available fast,2016,,501
Norway,Historical,EV chargers,,Publicly available slow,2016,,7040
Norway,Historical,EV chargers,,Publicly available fast,2017,,917
Norway,Historical,EV chargers,,Publicly available slow,2017,,8292
Norway,Historical,EV chargers,,Publicly available fast,2018,,1226
Norway,Historical,EV chargers,,Publicly available slow,2018,,9333
Norway,Historical,EV chargers,,Publicly available fast,2019,,3970
Norway,Historical,EV chargers,,Publicly available slow,2019,,10337
Norway,Historical,EV chargers,,Publicly available fast,2020,,5299
Norway,Historical,EV chargers,,Publicly available slow,2020,,11677
Other Europe,Historical,EV chargers,,Publicly available fast,2011,,7
Other Europe,Historical,EV chargers,,Publicly available slow,2011,,49
Other Europe,Historical,EV chargers,,Publicly available fast,2012,,188
Other Europe,Historical,EV chargers,,Publicly available slow,2012,,1341
Other Europe,Historical,EV chargers,,Publicly available fast,2013,,237
Other Europe,Historical,EV chargers,,Publicly available slow,2013,,1842
Other Europe,Historical,EV chargers,,Publicly available fast,2014,,342
Other Europe,Historical,EV chargers,,Publicly available slow,2014,,2596
Other Europe,Historical,EV chargers,,Publicly available fast,2015,,634
Other Europe,Historical,EV chargers,,Publicly available slow,2015,,3363
Other Europe,Historical,EV chargers,,Publicly available fast,2016,,885
Other Europe,Historical,EV chargers,,Publicly available slow,2016,,4426
Other Europe,Historical,EV chargers,,Publicly available fast,2017,,1378
Other Europe,Historical,EV chargers,,Publicly available slow,2017,,6732
Other Europe,Historical,EV chargers,,Publicly available fast,2018,,1836
Other Europe,Historical,EV chargers,,Publicly available slow,2018,,7954
Other Europe,Historical,EV chargers,,Publicly available fast,2019,,2404
Other Europe,Historical,EV chargers,,Publicly available slow,2019,,8767
Other Europe,Historical,EV chargers,,Publicly available fast,2020,,4095
Other Europe,Historical,EV chargers,,Publicly available slow,2020,,14347
Poland,Historical,EV chargers,,Publicly available fast,2014,,4
Poland,Historical,EV chargers,,Publicly available slow,2014,,115
