region,parameter,powertrain,year,unit,value
Iceland,EV sales,BEV,2015,N/A,387.0
Iceland,EV sales,PHEV,2015,N/A,166.0
Iceland,EV sales share,EV,2015,percent,3.645
Iceland,EV sales,BEV,2016,N/A,375.0
Iceland,EV sales,PHEV,2016,N/A,780.0
Iceland,EV sales share,EV,2016,percent,5.564
Iceland,EV sales,BEV,2017,N/A,847.0
Iceland,EV sales,PHEV,2017,N/A,2181.0
Iceland,EV sales share,EV,2017,percent,11.705
Iceland,EV sales,BEV,2018,N/A,784.0
Iceland,EV sales,FCEV,2018,N/A,16.0
Iceland,EV sales,PHEV,2018,N/A,2868.0
Iceland,EV sales share,EV,2018,percent,17.219
Iceland,EV sales,BEV,2019,N/A,914.0
Iceland,EV sales,FCEV,2019,N/A,7.0
Iceland,EV sales,PHEV,2019,N/A,1734.0
Iceland,EV sales share,EV,2019,percent,22.6
Iceland,EV sales,BEV,2020,N/A,2551.0
Iceland,EV sales,FCEV,2020,N/A,1.0
Iceland,EV sales,PHEV,2020,N/A,2355.0
Iceland,EV sales share,EV,2020,percent,52.37
India,EV sales,BEV,2010,N/A,449.0
India,EV sales share,EV,2010,percent,0.021
India,EV sales,BEV,2011,N/A,1428.0
India,EV sales share,EV,2011,percent,0.057
India,EV sales,BEV,2012,N/A,191.0
India,EV sales share,EV,2012,percent,0.007
India,EV sales,BEV,2013,N/A,408.0
India,EV sales share,EV,2013,percent,0.016
India,EV sales,BEV,2014,N/A,1000.0
India,EV sales share,EV,2014,percent,0.037
India,EV sales,BEV,2015,N/A,450.0
India,EV sales share,EV,2015,percent,0.016
India,EV sales,BEV,2016,N/A,2000.0
India,EV sales share,EV,2016,percent,0.067
India,EV sales,BEV,2017,N/A,1200.0
India,EV sales share,EV,2017,percent,0.038
India,EV sales,BEV,2018,N/A,2104.0
India,EV sales share,EV,2018,percent,0.065
India,EV sales,BEV,2019,N/A,2081.0
India,EV sales,PHEV,2019,N/A,7.0
India,EV sales share,EV,2019,percent,0.068
India,EV sales,BEV,2020,N/A,1554.0
India,EV sales,PHEV,2020,N/A,43.0
India,EV sales share,EV,2020,percent,0.056
Indonesia,EV sales share,EV,2017,percent,0.003
Indonesia,EV sales share,EV,2019,percent,0.012
Indonesia,EV sales share,EV,2020,percent,0.054
Italy,EV sales,BEV,2010,N/A,40.0
