region,year,product,lge_per_100km
Brazil,2017,Small SUV/Pick-up,8.52
Brazil,2017,Van/LCV,8.07
Brazil,2018,All vehicles,7.56
Brazil,2018,City car,6.83
Brazil,2018,Diesel,9.93
Brazil,2018,Electric,1.72
Brazil,2018,Flexfuel,7.29
Brazil,2018,Large SUV/Pick-up,10.01
Brazil,2018,Medium car,7.46
Brazil,2018,Petrol,9.47
Brazil,2018,Plug-in,2.88
Brazil,2018,Small SUV/Pick-up,8.23
Brazil,2018,Van/LCV,8.78
Brazil,2019,All vehicles,7.51
Brazil,2019,City car,6.79
Brazil,2019,Diesel,9.87
Brazil,2019,Electric,2.0
Brazil,2019,Flexfuel,7.24
Brazil,2019,Large SUV/Pick-up,9.94
Brazil,2019,Medium car,7.5
Brazil,2019,Petrol,9.5
Brazil,2019,Plug-in,2.7
Brazil,2019,Small SUV/Pick-up,8.21
Brazil,2019,Van/LCV,8.72
Canada,2005,All vehicles,10.12
Canada,2005,City car,7.31
Canada,2005,Hybrid,7.94
Canada,2005,Large car,9.99
Canada,2005,Large SUV/Pick-up,13.65
Canada,2005,Medium car,7.82
Canada,2005,Petrol,10.11
Canada,2005,Small SUV/Pick-up,11.18
Canada,2005,Van/LCV,13.24
Canada,2008,All vehicles,9.8
Canada,2008,City car,6.97
Canada,2008,Hybrid,5.93
Canada,2008,Large car,9.95
Canada,2008,Large SUV/Pick-up,13.54
Canada,2008,Medium car,7.63
Canada,2008,Petrol,9.47
Canada,2008,Small SUV/Pick-up,10.5
Canada,2008,Van/LCV,18.46
Canada,2010,All vehicles,9.5
Canada,2010,City car,6.75
Canada,2010,Hybrid,5.88
Canada,2010,Large car,9.3
Canada,2010,Large SUV/Pick-up,12.23
Canada,2010,Medium car,7.4
Canada,2010,Petrol,9.19
Canada,2010,Small SUV/Pick-up,9.43
Canada,2010,Van/LCV,13.5
Canada,2011,All vehicles,9.36
Canada,2011,City car,6.7
Canada,2011,Hybrid,5.68
Canada,2011,Large car,9.08
Canada,2011,Large SUV/Pick-up,12.01
Canada,2011,Medium car,7.33
Canada,2011,Petrol,9.06
Canada,2011,Small SUV/Pick-up,9.31
Canada,2011,Van/LCV,13.06
Canada,2012,All vehicles,9.06
Canada,2012,City car,6.29
Canada,2012,Diesel,6.34
Canada,2012,Hybrid,4.49
Canada,2012,Large car,8.6
Canada,2012,Large SUV/Pick-up,12.02
Canada,2012,Medium car,7.02
Canada,2012,Petrol,7.63
Canada,2012,Small SUV/Pick-up,8.65
Canada,2012,Van/LCV,11.17
Canada,2013,All vehicles,8.83
Canada,2013,City car,6.28
Canada,2013,Diesel,6.36
