region,year,renewables_pct,CO2e_grams_per_km_electric
South Sudan,2019,0.00545997215071822,130.1106330320599
Spain,2019,0.584696147658274,49.1068966383635
Sri Lanka,2019,0.4621936293275591,80.80788368828995
Sudan,2019,0.5971511207802952,52.313353411295665
Suriname,2019,0.6310601291503064,51.51008617544414
Sweden,2019,0.9785640640516984,10.482155261777939
Switzerland,2019,0.990448122148253,7.926867302950208
Syria,2019,0.05166159033687482,110.6066917160633
Taiwan,2019,0.18137595718547878,113.4986505126457
Tajikistan,2019,0.93053900203038,13.57700076244566
Tanzania,2019,0.3431469060594119,71.93391397201117
Thailand,2019,0.18466491812781108,99.38906761449554
Togo,2019,0.007805859639568157,122.84600300825281
Tonga,2019,0.0,130.77522935779817
Trinidad and Tobago,2019,0.0005998824269734265,102.59601345487243
Tunisia,2019,0.03698681237068481,95.08803117201116
Turkey,2019,0.4483022173246451,82.99313083810165
Turkmenistan,2019,1.4162759609989163e-05,119.7854761097222
Turks and Caicos Islands,2019,0.0,130.77522935779817
U.S. Pacific Islands,2019,0.0,130.77522935779817
Uganda,2019,0.9406001350216038,18.180325485741804
Ukraine,2019,0.6200610566854203,60.11494344914602
United Arab Emirates,2019,0.032123603558590876,95.71142671110445
United Kingdom,2019,0.5461692799027333,54.64178365663884
United States,2019,0.3764691666575046,79.35881454812433
United States Virgin Islands,2019,0.01257876247787976,129.24412277073725
Uruguay,2019,0.9830101856052749,14.845478928994934
Uzbekistan,2019,0.08941074636138423,104.3483335098337
Vanuatu,2019,0.13564544268902395,113.82310259798575
Venezuela,2019,0.5845485391201932,43.777801084911985
Vietnam,2019,0.2859496516922022,106.08336391879135
Yemen,2019,0.19892738294257772,96.6907837025594
Zambia,2019,0.8219044449724024,31.579535392526378
Zimbabwe,2019,0.5793288480310889,73.4785901510816
