region,year,total_sales
Norway,2016,171798.0147229222
Norway,2017,158812.88575645236
Norway,2018,148019.8609573991
Norway,2019,142433.94481885474
Norway,2020,141434.34497250122
Poland,2010,799999.9620020407
Poland,2011,860000.0192224984
Poland,2012,960000.0214576727
Poland,2013,1020000.0227987772
Poland,2014,1088888.935763161
Poland,2015,1141379.3431876258
Poland,2016,1369230.7409802843
Poland,2017,1358474.5680368072
Poland,2018,1465034.8966422165
Poland,2019,1483093.540443038
Poland,2020,1200486.0065605666
Portugal,2010,223291.9276151561
Portugal,2011,153658.5323410614
Portugal,2012,94545.45505775894
Portugal,2013,105952.38238083129
Portugal,2014,143262.4086828325
Portugal,2015,198398.58476083106
Portugal,2016,230451.1341539255
Portugal,2017,232241.01971578036
Portugal,2018,228285.87385567892
Portugal,2019,223808.68774428332
Portugal,2020,145418.1818181818
South Africa,2013,424999.9798135841
South Africa,2014,499999.995653828
South Africa,2015,415517.25333567645
South Africa,2016,362499.9925207635
South Africa,2017,367924.5326465116
South Africa,2018,370000.0082701447
South Africa,2019,356249.98307903373
South Africa,2020,309090.91076575033
South Korea,2010,1220000.0272691257
South Korea,2011,1191304.3455106325
South Korea,2012,1253658.5019572312
South Korea,2013,1245833.3225041213
South Korea,2014,1351612.8711740968
South Korea,2015,1535483.922422492
South Korea,2016,1546951.1767828285
South Korea,2017,1563761.9807238195
South Korea,2018,1587225.6768583758
South Korea,2019,1773614.8307684113
South Korea,2020,1599614.306820134
Spain,2010,949999.9548774234
Spain,2011,804166.6596765734
Spain,2012,699999.9921341412
Spain,2013,723770.4836703123
Spain,2014,858415.8116953603
Spain,2015,1037560.9846600175
Spain,2016,1149019.6293292257
Spain,2017,1239267.8642406552
Spain,2018,1327252.0344078527
Spain,2019,1268287.3536939567
Spain,2020,851287.7622952275
Sweden,2010,399999.98100102035
Sweden,2011,329629.6210793477
Sweden,2012,301298.7029313197
Sweden,2013,293005.6797932474
Sweden,2014,324097.2093437562
Sweden,2015,361904.7761583019
Sweden,2016,393605.17921538255
Sweden,2017,400058.93298484583
Sweden,2018,382687.99175053433
Sweden,2019,356053.1790547696
Sweden,2020,292041.6370852678
Switzerland,2010,291489.37168300536
Switzerland,2011,315942.0369002431
Switzerland,2012,326106.20036668726
Switzerland,2013,306249.9920561636
Switzerland,2014,300000.00415501266
Switzerland,2015,322241.28934153734
Switzerland,2016,316846.9885804747
Switzerland,2017,312231.2877289896
Switzerland,2018,300599.56672368705
Switzerland,2019,311925.1262662215
Switzerland,2020,236846.16323959324
United Kingdom,2010,1971428.5105770968
United Kingdom,2011,1933333.3022380006
United Kingdom,2012,2040151.5262062885
United Kingdom,2013,2273939.303581164
United Kingdom,2014,2490371.589526981
United Kingdom,2015,2662431.946531929
United Kingdom,2016,2731988.450097171
United Kingdom,2017,2589627.6150869085
United Kingdom,2018,2419494.0426601013
United Kingdom,2019,2388765.148211447
United Kingdom,2020,1561203.7443003124
United States,2010,10827272.785941431
United States,2011,10491124.275155498
United States,2012,13081080.91249877
United States,2013,13120760.040916122
United States,2014,13337261.910777798
United States,2015,14518853.018124748
United States,2016,15753921.863217855
United States,2017,17264975.060963962
United States,2018,18449264.614841018
United States,2019,18855421.356614
United States,2020,14519207.058405194
World,2010,55260001.23515728
World,2011,56860187.82103565
World,2012,61317097.27152023
World,2013,63830313.9267187
World,2014,66913354.04575299
World,2015,70096802.59888445
World,2016,75287455.15328565
World,2017,78638802.47003554
World,2018,79529490.96200626
World,2019,77740553.16675624
World,2020,64758434.67933684
